                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 10.072,                 9.9859,                 9.4057,                      0,                      0,                      0,                      0,                  8.288,                 9.1811,                 8.3176,                      0,                      0,                      0
                      2,                 10.025,                 10.001,                 9.3142,                      0,                      0,                      0,                      0,                 8.2879,                 9.1816,                 8.3179,             1.4276e-05,             1.4276e-05,             1.4276e-05
                      3,                  9.707,                 10.206,                 9.2241,                      0,                      0,                      0,                      0,                 8.2879,                 9.1816,                 8.3178,             2.8523e-05,             2.8523e-05,             2.8523e-05
                      4,                 10.534,                 10.006,                 8.8229,                      0,                      0,                      0,                      0,                 8.2878,                 9.1861,                 8.3166,             4.2743e-05,             4.2743e-05,             4.2743e-05
                      5,                 8.3916,                 9.9131,                  8.996,                      0,                      0,                      0,                      0,                 8.2878,                 9.1866,                 8.3158,             5.6934e-05,             5.6934e-05,             5.6934e-05
                      6,                 8.9698,                  9.365,                 9.3504,                      0,                      0,                      0,                      0,                 8.2878,                 9.1864,                 8.3159,             7.1096e-05,             7.1096e-05,             7.1096e-05
                      7,                 10.887,                 10.066,                 8.8346,                      0,                      0,                      0,                      0,                 8.2879,                 9.1867,                  8.316,             8.5231e-05,             8.5231e-05,             8.5231e-05
                      8,                 7.0266,                  9.463,                 9.3759,                      0,                      0,                      0,                      0,                 8.2878,                 9.1861,                 8.3162,             9.9337e-05,             9.9337e-05,             9.9337e-05
                      9,                 7.0904,                 9.4443,                 9.4639,                      0,                      0,                      0,                      0,                 8.2894,                 9.1871,                 8.3156,             0.00011341,             0.00011341,             0.00011341
                     10,                 8.1634,                 9.6705,                 9.5237,                      0,                      0,                      0,                      0,                 8.2893,                 9.1873,                 8.3163,             0.00012746,             0.00012746,             0.00012746
                     11,                 9.2847,                 9.3035,                 8.7316,                      0,                      0,                      0,                      0,                 8.2903,                 9.1928,                 8.3161,             0.00014149,             0.00014149,             0.00014149
                     12,                 7.5464,                 8.5004,                 8.2192,                      0,                      0,                      0,                      0,                 8.2908,                  9.194,                 8.3175,             0.00015548,             0.00015548,             0.00015548
                     13,                 8.9138,                 9.0598,                 8.5342,                      0,                      0,                      0,                      0,                 8.2907,                  9.193,                 8.3186,             0.00016944,             0.00016944,             0.00016944
                     14,                 7.2819,                 8.6993,                 8.3647,                      0,                      0,                      0,                      0,                 8.2937,                 9.1973,                 8.3202,             0.00018338,             0.00018338,             0.00018338
                     15,                 9.5752,                 8.2607,                 7.6055,                      0,                      0,                      0,                      0,                 8.2962,                 9.2038,                 8.3215,             0.00019729,             0.00019729,             0.00019729
                     16,                 6.1968,                 7.1207,                 7.6383,                      0,                      0,                      0,                      0,                 8.2993,                 9.2062,                  8.324,             0.00021117,             0.00021117,             0.00021117
                     17,                 6.8289,                 6.8973,                 7.4707,                      0,                      0,                      0,                      0,                 8.3004,                 9.2078,                 8.3252,             0.00022502,             0.00022502,             0.00022502
                     18,                 6.8867,                 7.3595,                 7.8577,                      0,                      0,                      0,                      0,                 8.3004,                 9.2078,                 8.3252,             0.00023884,             0.00023884,             0.00023884
                     19,                 5.5462,                 6.1562,                  7.314,                      0,                      0,                      0,                      0,                 8.3012,                 9.2181,                 8.3285,             0.00025264,             0.00025264,             0.00025264
                     20,                 6.6414,                  6.892,                 7.5454,                      0,                      0,                      0,                      0,                 8.3012,                 9.2181,                 8.3285,              0.0002664,              0.0002664,              0.0002664
                     21,                 6.1088,                  6.826,                 7.6478,                      0,                      0,                      0,                      0,                 8.3095,                 9.2292,                 8.3335,             0.00028014,             0.00028014,             0.00028014
                     22,                 5.7044,                 6.7394,                 7.3898,                      0,                      0,                      0,                      0,                 8.3095,                 9.2292,                 8.3335,             0.00029385,             0.00029385,             0.00029385
                     23,                 5.2279,                 7.3564,                 8.2126,                      0,                      0,                      0,                      0,                 8.3211,                 9.2389,                   8.34,             0.00030753,             0.00030753,             0.00030753
                     24,                 6.5852,                 6.4872,                 7.3104,                      0,                      0,                      0,                      0,                 8.3211,                 9.2389,                   8.34,             0.00032119,             0.00032119,             0.00032119
                     25,                 4.0221,                 6.4261,                 8.3062,                      0,                      0,                      0,                      0,                 8.3402,                 9.2546,                 8.3497,             0.00033481,             0.00033481,             0.00033481
                     26,                  5.495,                 6.4943,                 7.3507,                      0,                      0,                      0,                      0,                 8.3402,                 9.2546,                 8.3497,             0.00034841,             0.00034841,             0.00034841
                     27,                  7.832,                 6.2453,                 6.6963,                      0,                      0,                      0,                      0,                   8.37,                 9.2695,                 8.3635,             0.00036198,             0.00036198,             0.00036198
                     28,                 5.1024,                 5.5997,                 7.0108,                      0,                      0,                      0,                      0,                   8.37,                 9.2695,                 8.3635,             0.00037552,             0.00037552,             0.00037552
                     29,                 5.6341,                 5.9385,                 6.9973,                      0,                      0,                      0,                      0,                 8.3906,                  9.286,                 8.3795,             0.00038903,             0.00038903,             0.00038903
                     30,                 5.4154,                 6.3482,                 7.3422,                      0,                      0,                      0,                      0,                 8.3906,                  9.286,                 8.3795,             0.00040251,             0.00040251,             0.00040251
                     31,                 5.8555,                 7.0986,                 7.1903,                      0,                      0,                      0,                      0,                 8.4155,                 9.3003,                 8.3979,             0.00041597,             0.00041597,             0.00041597
                     32,                 5.0049,                 6.1993,                 6.9001,                      0,                      0,                      0,                      0,                 8.4155,                 9.3003,                 8.3979,             0.00042939,             0.00042939,             0.00042939
                     33,                 6.5338,                 6.0304,                 6.7606,                      0,                      0,                      0,                      0,                 8.4572,                 9.3207,                 8.4195,             0.00044279,             0.00044279,             0.00044279
                     34,                 6.7083,                 5.5752,                 6.6043,                      0,                      0,                      0,                      0,                 8.4572,                 9.3207,                 8.4195,             0.00045616,             0.00045616,             0.00045616
                     35,                 6.1361,                 5.7232,                 6.5039,                      0,                      0,                      0,                      0,                 8.4723,                 9.3375,                 8.4313,             0.00046951,             0.00046951,             0.00046951
                     36,                 7.0025,                 5.4687,                 6.5431,                      0,                      0,                      0,                      0,                 8.4723,                 9.3375,                 8.4313,             0.00048282,             0.00048282,             0.00048282
